,Unnamed: 0,app_stamp,ID_tracking,x_tracking,y_tracking,z_tracking,xd,yd,type_tracking,status,tick,range_tracking,speed_tracking,sinAzim_tracking,sinElv_tracking,new_id,sub_ID_count
5,5,2353370,1.0,16.4453125,17.1484375,0.0,0.0,0.0,0.0,1.0,0.0,23.765625,0.0,-0.005307,0.0,1.0_2,425
6,6,2456828,1.0,16.515625,17.03125,0.0,0.0,0.0,0.0,1.0,1.0,23.765625,0.0,-0.005368,0.0,1.0_2,425
7,7,2557706,1.0,16.421875,17.171875,0.09375,0.0,0.0,0.0,1.0,2.0,23.765625,0.0,-0.005307,0.0,1.0_2,425
8,8,2659325,1.0,16.625,16.9296875,0.0,0.0,0.0,0.0,1.0,3.0,23.765625,0.0,-0.005368,0.0,1.0_2,425
9,9,2752023,1.0,16.6171875,16.9453125,0.015625,0.0,0.0,0.0,1.0,4.0,23.765625,0.0,-0.005368,0.0,1.0_2,425
10,10,2851811,1.0,17.15625,17.375,0.953125,-0.046875,-0.0390625,0.0,2.0,5.0,27.34375,0.0,-0.005368,0.000305,1.0_2,425
11,11,2954060,1.0,17.1640625,17.3671875,0.953125,-0.046875,-0.0390625,0.0,3.0,5.0,0.0,0.0,-0.005368,0.000305,1.0_2,425
12,12,3056086,1.0,17.1640625,17.359375,0.953125,-0.046875,-0.0390625,0.0,3.0,5.0,0.0,0.0,-0.005368,0.000305,1.0_2,425
13,13,3151574,1.0,17.171875,17.359375,0.953125,-0.046875,-0.0390625,0.0,3.0,4.0,0.0,0.0,-0.005368,0.000305,1.0_2,425
14,14,3254052,1.0,17.1796875,17.3515625,0.953125,-0.046875,-0.0390625,0.0,3.0,3.0,0.0,0.0,-0.005429,0.000305,1.0_2,425
15,15,3354840,1.0,17.1796875,17.34375,0.953125,-0.046875,-0.0390625,0.0,3.0,2.0,0.0,0.0,-0.005429,0.000305,1.0_2,425
16,16,3454848,1.0,16.3359375,17.390625,0.2265625,0.3359375,0.328125,0.0,4.0,3.0,21.1640625,0.0,-0.005246,6.1e-05,1.0_2,425
17,17,3553670,1.0,15.6640625,17.4765625,0.0,0.65625,0.6015625,0.0,4.0,4.0,21.1640625,0.0,-0.005124,0.0,1.0_2,425
18,18,3656119,1.0,15.1171875,17.578125,0.0,0.921875,0.8046875,0.0,2.0,5.0,21.1640625,0.0,-0.005002,0.0,1.0_2,425
19,19,3751858,1.0,14.671875,17.65625,0.0,1.1171875,0.9453125,0.0,2.0,6.0,21.1640625,0.0,-0.00488,0.0,1.0_2,425
20,20,3861166,1.0,14.296875,17.7265625,0.0,1.265625,1.03125,0.0,2.0,7.0,21.1640625,0.0,-0.004819,0.0,1.0_2,425
21,21,3957145,1.0,13.96875,17.7890625,0.0,1.375,1.0859375,0.0,2.0,8.0,21.1640625,0.0,-0.004758,0.0,1.0_2,425
22,22,4057998,1.0,13.6875,17.84375,0.0,1.4453125,1.1171875,0.0,2.0,9.0,21.1640625,0.0,-0.004636,0.0,1.0_2,425
23,23,4155005,1.0,13.4296875,17.90625,0.0,1.4921875,1.125,0.0,2.0,10.0,21.1640625,0.0,-0.004575,0.0,1.0_2,425
24,24,4264312,1.0,13.203125,17.9609375,0.0,1.5234375,1.125,0.0,2.0,11.0,21.1640625,0.0,-0.004514,0.0,1.0_2,425
25,25,4359189,1.0,13.046875,17.9765625,0.0,1.4921875,1.0859375,0.0,2.0,12.0,21.1640625,0.0,-0.004514,0.0,1.0_2,425
26,26,4465126,1.0,12.8984375,17.9921875,0.0,1.453125,1.046875,0.0,2.0,13.0,21.1640625,0.0,-0.004453,0.0,1.0_2,425
27,27,4559782,1.0,12.7890625,18.0,0.0,1.3984375,1.0,0.0,2.0,14.0,21.1640625,0.0,-0.004453,0.0,1.0_2,425
28,28,4661761,1.0,12.6796875,18.0,0.0,1.3515625,0.953125,0.0,2.0,15.0,21.078125,0.0,-0.004392,0.0,1.0_2,425
29,29,4764010,1.0,12.59375,18.0,0.0,1.2890625,0.90625,0.0,2.0,16.0,21.078125,0.0,-0.004392,0.0,1.0_2,425
30,30,4855919,1.0,12.5234375,17.984375,0.0,1.21875,0.8515625,0.0,2.0,17.0,21.078125,0.0,-0.004392,0.0,1.0_2,425
31,31,4955898,1.0,12.46875,17.9765625,0.0,1.1484375,0.796875,0.0,2.0,18.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
32,32,5057625,1.0,12.4140625,17.96875,0.0,1.0859375,0.7578125,0.0,2.0,19.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
33,33,5154992,1.0,12.3671875,17.9609375,0.0,1.03125,0.7109375,0.0,2.0,20.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
34,34,5258199,1.0,12.3203125,17.953125,0.0,0.9765625,0.671875,0.0,2.0,21.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
35,35,5356376,1.0,12.28125,17.9375,0.0,0.9140625,0.6328125,0.0,2.0,22.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
36,36,5459223,1.0,12.265625,17.921875,0.0078125,0.8515625,0.5859375,0.0,2.0,23.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
37,37,5555832,1.0,12.234375,17.9140625,0.015625,0.8046875,0.546875,0.0,2.0,24.0,21.078125,0.0,-0.004331000000000001,0.0,1.0_2,425
38,38,5656670,1.0,12.1484375,17.9453125,0.0234375,0.796875,0.5390625,0.0,2.0,25.0,21.1640625,0.0,-0.00427,0.0,1.0_2,425
39,39,5754439,1.0,12.03125,18.0,0.0390625,0.8125,0.546875,0.0,2.0,26.0,21.1640625,0.0,-0.00427,0.0,1.0_2,425
