,app_stamp,Obj_DistLat,Obj_DistLong,Obj_VrelLong,Obj_VrelLat,Obj_ID,Obj_DynProp,Obj_RCS,gt_range,gt_angle,ideal_DisLat,ideal_DisLong,sub_ID,sub_ID_count
17,21272630,2.200000000000017,66.39999999999998,-1.0,0.0,0.0,0.0,1.5,66.43643578639659,1.8976599490439918,-20.6,49.0,0_6,15
18,21412758,2.200000000000017,66.20000000000005,-1.25,0.0,0.0,0.0,-1.0,66.2365458036574,1.9033888499242821,2.2,65.0,0_6,15
19,21487707,2.0000000000000284,66.20000000000005,-1.0,-0.5,0.0,0.0,-0.5,66.23020458974898,1.730463961529409,2.2,65.3,0_6,15
20,21632797,2.0000000000000284,66.0,-1.0,-0.5,0.0,1.0,0.5,66.03029607687671,1.7357045889284135,1.3,64.7,0_6,15
21,21777835,2.4000000000000057,66.60000000000002,0.0,0.5,0.0,1.0,5.5,66.64322921347677,2.0638197284569664,1.3,64.5,0_6,15
22,21847854,2.4000000000000057,66.39999999999998,0.0,0.5,0.0,1.0,7.5,66.44335933710755,2.070030653041104,2.8,66.6,0_6,15
23,21922883,2.6000000000000227,66.60000000000002,0.0,0.75,0.0,1.0,9.0,66.65073142884482,2.2356368961463193,2.8,66.4,0_6,15
24,21992992,2.6000000000000227,66.80000000000007,0.0,0.75,0.0,1.0,10.0,66.85057965343314,2.228950133927751,3.1,66.6,0_6,15
25,22137964,2.6000000000000227,67.0,0.0,0.5,0.0,1.0,10.5,67.05042878311816,2.2223032324711225,3.7,66.8,0_6,15
26,22283012,2.8000000000000114,67.0,0.0,0.5,0.0,1.0,11.5,67.05848193927447,2.393057983606932,3.3,67.0,0_6,15
27,22358031,2.8000000000000114,67.20000000000005,0.0,0.5,0.0,1.0,12.0,67.2583080370002,2.385944030388821,3.2,67.0,0_6,15
28,22648122,3.0000000000000284,67.20000000000005,0.0,0.5,0.0,1.0,13.5,67.26693095422154,2.5561500785783045,4.3,67.2,0_6,15
29,23008247,3.200000000000017,67.20000000000005,0.0,0.5,0.0,1.0,15.5,67.2761473332117,2.7263109939062775,4.8,67.2,0_6,15
30,23878511,2.8000000000000114,67.39999999999998,0.0,0.0,0.0,1.0,12.0,67.45813516544908,2.3788722235235884,7.6,67.2,0_6,15
31,24238586,3.0000000000000284,67.39999999999998,0.0,0.25,0.0,1.0,12.5,67.46673254278731,2.5485750793478594,2.8,67.4,0_6,15
51,42489475,4.600000000000023,41.80000000000007,0.0,0.0,0.0,1.0,15.0,42.052348329195674,6.280007125699802,9.4,106.2,0_13,11
52,42634574,4.200000000000017,41.39999999999998,-0.25,-1.0,0.0,1.0,12.0,41.612498122559266,5.792796495032185,4.6,41.8,0_13,11
53,42779622,3.6000000000000227,41.80000000000007,-1.25,-2.5,0.0,1.0,8.0,41.95473751556558,4.9224181871360155,2.7,41.0,0_13,11
54,42854651,3.6000000000000227,41.60000000000002,-1.75,-2.5,0.0,1.0,5.5,41.7554786824436,4.945966547104185,1.7,40.9,0_13,11
55,42924660,3.4000000000000057,41.60000000000002,-2.0,-2.5,0.0,3.0,5.5,41.73871104861771,4.672442755389455,1.8,40.4,0_13,11
56,42999689,3.200000000000017,41.39999999999998,-2.5,-2.5,0.0,3.0,5.5,41.523487329462085,4.41987113885473,1.5,40.1,0_13,11
57,43069754,3.0000000000000284,41.200000000000045,-2.75,-2.5,0.0,2.0,5.5,41.309078905247986,4.164672651865957,1.4,39.6,0_13,11
58,43144763,2.8000000000000114,41.0,-3.25,-2.5,0.0,2.0,5.5,41.09549853694441,3.9068163841034376,1.1,39.1,0_13,11
59,43214782,2.6000000000000227,40.60000000000002,-3.75,-2.5,0.0,2.0,5.5,40.68316605182053,3.6641843207407465,1.0,38.7,0_13,11
60,43289811,2.4000000000000057,40.39999999999998,-4.0,-2.5,0.0,2.0,5.5,40.47122434520604,3.3997141591232687,0.7,37.8,0_13,11
61,43359840,2.200000000000017,40.200000000000045,-4.5,-2.5,0.0,2.0,5.5,40.26015399871197,3.1324651985680565,0.6,37.6,0_13,11
